"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2023","2.3462","2.4090","2.4131","2.3183","16.62K","-2.80%"
"05/24/2023","2.4137","2.3774","2.4200","2.3750","22.69K","2.20%"
"05/23/2023","2.3617","2.3703","2.4054","2.3567","21.53K","-0.20%"
"05/22/2023","2.3664","2.3669","2.3814","2.3317","20.45K","0.18%"
"05/19/2023","2.3622","2.4094","2.4481","2.3550","36.21K","-1.68%"
"05/18/2023","2.4026","2.4227","2.4251","2.3768","29.80K","-0.83%"
"05/17/2023","2.4226","2.3603","2.4311","2.3428","37.64K","2.48%"
"05/16/2023","2.3639","2.3802","2.3965","2.3436","39.51K","-0.59%"
"05/15/2023","2.3780","2.3050","2.3865","2.2812","48.22K","3.14%"
"05/12/2023","2.3055","2.3588","2.3617","2.3010","38.42K","-1.87%"
"05/11/2023","2.3495","2.3935","2.4233","2.3440","40.24K","-1.83%"
"05/10/2023","2.3934","2.3948","2.4080","2.3644","48.94K","0.13%"
"05/09/2023","2.3902","2.3639","2.3936","2.3220","34.71K","0.53%"
"05/08/2023","2.3777","2.3147","2.3845","2.3147","38.53K","2.72%"
"05/05/2023","2.3147","2.2409","2.3258","2.2307","40.37K","3.39%"
"05/04/2023","2.2387","2.2102","2.2695","2.1500","44.16K","0.29%"
"05/03/2023","2.2323","2.2950","2.2979","2.2046","54.23K","-2.49%"
"05/02/2023","2.2892","2.3818","2.3974","2.2714","58.37K","-3.91%"
"05/01/2023","2.3823","2.3722","2.3896","2.3268","41.47K","0.15%"
"04/28/2023","2.3787","2.3535","2.3935","2.3320","3.16K","1.04%"
"04/27/2023","2.3542","2.3715","2.3881","2.3351","13.98K","-0.79%"
"04/26/2023","2.3730","2.4510","2.4695","2.3696","13.43K","-3.19%"
"04/25/2023","2.4511","2.5246","2.5465","2.4482","22.92K","-3.16%"
"04/24/2023","2.5310","2.5042","2.5436","2.4618","27.14K","1.70%"
"04/21/2023","2.4886","2.4917","2.5220","2.4777","23.05K","-0.25%"
"04/20/2023","2.4949","2.5525","2.5525","2.4712","23.90K","-2.46%"
"04/19/2023","2.5577","2.5990","2.6019","2.5457","22.38K","-1.62%"
"04/18/2023","2.5999","2.6244","2.6290","2.5798","36.63K","-0.57%"
"04/17/2023","2.6147","2.6464","2.6512","2.5838","43.51K","-0.93%"
"04/14/2023","2.6392","2.6838","2.6851","2.6320","51.69K","-1.26%"
"04/13/2023","2.6728","2.7016","2.7141","2.6636","38.35K","-1.12%"
"04/12/2023","2.7031","2.6679","2.7234","2.6489","46.92K","1.31%"
"04/11/2023","2.6682","2.6825","2.7057","2.6275","53.73K","-0.49%"
"04/10/2023","2.6814","2.6658","2.7036","2.6396","48.25K","0.79%"
"04/06/2023","2.6605","2.7325","2.7348","2.6564","71.20K","-2.58%"
"04/05/2023","2.7310","2.6900","2.7399","2.6561","69.65K","2.41%"
"04/04/2023","2.6667","2.6697","2.7013","2.6092","55.35K","0.15%"
"04/03/2023","2.6626","2.7235","2.7642","2.6509","57.12K","-0.51%"
"03/31/2023","2.6763","2.6400","2.6830","2.6286","3.00K","2.00%"
"03/30/2023","2.6237","2.6498","2.6823","2.6210","14.29K","-1.29%"
"03/29/2023","2.6581","2.7581","2.7666","2.6416","21.74K","-4.03%"
"03/28/2023","2.7696","2.7647","2.8073","2.7407","25.71K","-0.03%"
"03/27/2023","2.7704","2.7150","2.7767","2.6819","34.89K","2.79%"
"03/24/2023","2.6952","2.6847","2.7250","2.6188","27.64K","0.39%"
