"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2023","2.6450","2.5705","2.6555","2.5630","13.82K","2.48%"
"08/24/2023","2.5810","2.5664","2.5893","2.5280","10.21K","0.84%"
"08/23/2023","2.5595","2.5544","2.5667","2.5059","12.10K","-0.51%"
"08/22/2023","2.5725","2.5617","2.5755","2.5441","10.83K","0.73%"
"08/21/2023","2.5539","2.5910","2.6327","2.5367","12.67K","-9.29%"
"08/20/2023","2.8155","2.8121","2.8182","2.8109","","-0.27%"
"08/18/2023","2.8232","2.8051","2.8523","2.7766","4.21K","0.05%"
"08/17/2023","2.8217","2.8418","2.8903","2.8029","4.24K","-1.58%"
"08/16/2023","2.8671","2.8283","2.8827","2.8283","7.13K","0.68%"
"08/15/2023","2.8476","2.9131","2.9300","2.8385","7.42K","-2.02%"
"08/14/2023","2.9062","2.9285","2.9403","2.8872","5.16K","-1.18%"
"08/13/2023","2.9410","2.9436","2.9463","2.9362","","-0.81%"
"08/11/2023","2.9649","2.9054","2.9848","2.9020","7.96K","2.07%"
"08/10/2023","2.9047","2.9312","2.9425","2.8683","6.14K","-0.81%"
"08/09/2023","2.9284","2.8321","2.9385","2.8306","10.60K","2.93%"
"08/08/2023","2.8451","2.8274","2.8489","2.7370","6.11K","1.45%"
"08/07/2023","2.8044","2.7910","2.8302","2.7766","5.80K","0.39%"
"08/06/2023","2.7934","2.7985","2.8037","2.7914","","0.37%"
"08/04/2023","2.7831","2.7835","2.8184","2.7655","6.24K","0.67%"
"08/03/2023","2.7647","2.7806","2.7855","2.7154","10.15K","-0.40%"
"08/02/2023","2.7758","2.9010","2.9125","2.7672","7.61K","-3.38%"
"08/01/2023","2.8730","2.9015","2.9195","2.8610","6.69K","-0.78%"
"07/31/2023","2.8955","2.8774","2.9072","2.8500","9.26K","0.78%"
"07/30/2023","2.8731","2.8858","2.8864","2.8731","","-2.80%"
"07/28/2023","2.9558","2.9550","2.9787","2.9475","0.28K","0.18%"
"07/27/2023","2.9505","2.9173","2.9636","2.8921","1.11K","1.49%"
"07/26/2023","2.9072","2.8508","2.9215","2.8387","1.21K","1.89%"
"07/25/2023","2.8533","2.8920","2.8920","2.8368","1.03K","-1.44%"
"07/24/2023","2.8951","2.8162","2.9428","2.8088","1.75K","5.66%"
"07/23/2023","2.7400","2.7496","2.7496","2.7396","","-0.61%"
"07/21/2023","2.7567","2.7067","2.7593","2.7015","14.12K","2.22%"
"07/20/2023","2.6967","2.6755","2.7083","2.6540","17.86K","0.98%"
"07/19/2023","2.6705","2.6360","2.6892","2.6200","28.16K","1.47%"
"07/18/2023","2.6317","2.5849","2.6415","2.5699","21.84K","2.35%"
"07/17/2023","2.5714","2.5660","2.5975","2.5473","30.94K","-2.11%"
"07/16/2023","2.6267","2.6281","2.6303","2.6219","","1.71%"
"07/14/2023","2.5825","2.6165","2.6174","2.5704","29.21K","-1.21%"
"07/13/2023","2.6140","2.5985","2.6203","2.5741","25.64K","0.79%"
"07/12/2023","2.5935","2.5455","2.6035","2.5441","28.09K","-1.11%"
"07/11/2023","2.6227","2.5810","2.6277","2.5780","4.93K","2.07%"
"07/10/2023","2.5696","2.5880","2.6032","2.5523","5.75K","-0.48%"
"07/09/2023","2.5819","2.5807","2.5858","2.5797","","-0.29%"
"07/07/2023","2.5893","2.5477","2.5993","2.5390","11.38K","1.79%"
"07/06/2023","2.5438","2.5095","2.5504","2.4650","13.95K","1.01%"
"07/05/2023","2.5183","2.5071","2.5557","2.5037","5.42K","0.03%"
