Date,Price,Open,High,Low,Vol.,Change %
9/3/2023,2.5939,2.5934,2.5989,2.5928,,3.24%
9/1/2023,2.5124,2.4826,2.523,2.4822,12.79K,1.29%
8/31/2023,2.4803,2.4863,2.5048,2.4539,22.03K,-3.38%
8/30/2023,2.5671,2.5482,2.5853,2.5392,15.71K,0.41%
8/29/2023,2.5565,2.5751,2.5855,2.5197,11.47K,-0.41%
8/28/2023,2.5669,2.6299,2.6299,2.5504,8.37K,-2.47%
8/27/2023,2.6319,2.6459,2.6469,2.6315,,-0.50%
8/25/2023,2.645,2.5705,2.6555,2.563,13.82K,2.48%
8/24/2023,2.581,2.5664,2.5893,2.528,10.21K,0.84%
8/23/2023,2.5595,2.5544,2.5667,2.5059,12.10K,-0.51%
8/22/2023,2.5725,2.5617,2.5755,2.5441,10.83K,0.73%
8/21/2023,2.5539,2.591,2.6327,2.5367,12.67K,-9.29%
8/20/2023,2.8155,2.8121,2.8182,2.8109,,-0.27%
8/18/2023,2.8232,2.8051,2.8523,2.7766,4.21K,0.05%
8/17/2023,2.8217,2.8418,2.8903,2.8029,4.24K,-1.58%
8/16/2023,2.8671,2.8283,2.8827,2.8283,7.13K,0.68%
8/15/2023,2.8476,2.9131,2.93,2.8385,7.42K,-2.02%
8/14/2023,2.9062,2.9285,2.9403,2.8872,5.16K,-1.18%
8/13/2023,2.941,2.9436,2.9463,2.9362,,-0.81%
8/11/2023,2.9649,2.9054,2.9848,2.902,7.96K,2.07%
8/10/2023,2.9047,2.9312,2.9425,2.8683,6.14K,-0.81%
8/9/2023,2.9284,2.8321,2.9385,2.8306,10.60K,2.93%
8/8/2023,2.8451,2.8274,2.8489,2.737,6.11K,1.45%
8/7/2023,2.8044,2.791,2.8302,2.7766,5.80K,0.39%
8/6/2023,2.7934,2.7985,2.8037,2.7914,,0.37%
8/4/2023,2.7831,2.7835,2.8184,2.7655,6.24K,0.67%
8/3/2023,2.7647,2.7806,2.7855,2.7154,10.15K,-0.40%
8/2/2023,2.7758,2.901,2.9125,2.7672,7.61K,-3.38%
8/1/2023,2.873,2.9015,2.9195,2.861,6.69K,-0.78%
7/31/2023,2.8955,2.8774,2.9072,2.85,9.26K,0.78%
7/30/2023,2.8731,2.8858,2.8864,2.8731,,-2.80%
7/28/2023,2.9558,2.955,2.9787,2.9475,0.28K,0.18%
7/27/2023,2.9505,2.9173,2.9636,2.8921,1.11K,1.49%
7/26/2023,2.9072,2.8508,2.9215,2.8387,1.21K,1.89%
7/25/2023,2.8533,2.892,2.892,2.8368,1.03K,-1.44%
7/24/2023,2.8951,2.8162,2.9428,2.8088,1.75K,5.66%
