Date,Price,Open,High,Low,Vol.,Change %
8/24/2023,3.1564,3.1148,3.1586,3.0995,20.73K,0.87%
8/23/2023,3.1291,3.1422,3.169,3.0981,23.73K,-0.31%
8/22/2023,3.1388,3.1279,3.157,3.0936,22.17K,0.73%
8/21/2023,3.1162,3.1713,3.1963,3.11,33.80K,-1.38%
8/18/2023,3.1597,3.0908,3.1769,3.0831,44.41K,2.13%
8/17/2023,3.0938,3.025,3.1164,3.006,35.21K,2.41%
8/16/2023,3.0209,3.0331,3.0575,3.0075,43.21K,-0.23%
8/15/2023,3.028,3.0795,3.0921,3.0088,39.32K,-1.95%
8/14/2023,3.0883,3.1152,3.1344,3.0572,41.67K,-1.06%
8/11/2023,3.1215,3.1502,3.1949,3.1115,50.48K,-1.01%
8/10/2023,3.1533,3.2107,3.231,3.1233,46.45K,-1.67%
8/9/2023,3.207,3.086,3.2172,3.0791,60.55K,3.93%
8/8/2023,3.0856,3.0329,3.0917,2.9374,56.01K,2.32%
8/7/2023,3.0155,3.0699,3.0828,3.0122,41.54K,-1.53%
8/4/2023,3.0622,3.0852,3.0954,3.039,47.85K,-0.41%
8/3/2023,3.0749,3.015,3.0927,2.9633,60.04K,2.35%
8/2/2023,3.0043,3.0648,3.0874,2.9678,64.18K,-0.63%
8/1/2023,3.0234,2.9964,3.0725,2.9813,75.58K,1.09%
7/31/2023,2.9909,2.9558,3.0041,2.9319,3.14K,1.09%
7/28/2023,2.9586,2.9006,2.9748,2.8862,16.84K,1.43%
7/27/2023,2.9169,2.8418,2.9233,2.8403,17.08K,2.60%
7/26/2023,2.8429,2.77,2.8485,2.7593,18.10K,2.35%
7/25/2023,2.7776,2.7745,2.7913,2.7316,20.82K,0.26%
7/24/2023,2.7705,2.7458,2.8369,2.722,28.89K,0.90%
7/21/2023,2.7457,2.674,2.7507,2.6694,22.41K,3.05%
7/20/2023,2.6644,2.6434,2.6736,2.6184,29.65K,0.86%
7/19/2023,2.6418,2.6145,2.6774,2.599,33.04K,1.63%
7/18/2023,2.5994,2.5684,2.6122,2.5588,26.67K,1.37%
7/17/2023,2.5642,2.5825,2.6227,2.5488,34.43K,-1.30%
7/14/2023,2.5979,2.6181,2.6349,2.5706,51.57K,-0.48%
7/13/2023,2.6104,2.6059,2.6332,2.5787,52.40K,0.42%
7/12/2023,2.5996,2.5769,2.625,2.5714,52.99K,0.62%
7/11/2023,2.5837,2.5589,2.5962,2.5455,39.77K,1.19%
7/10/2023,2.5532,2.5623,2.583,2.5291,41.62K,-0.23%
7/7/2023,2.5591,2.4864,2.5628,2.4807,49.17K,3.21%
7/6/2023,2.4794,2.498,2.5009,2.4323,46.64K,-0.56%
7/5/2023,2.4933,2.3922,2.5053,2.385,66.64K,2.42%
7/4/2023,2.4345,2.3896,2.4479,2.3852,,2.41%
7/3/2023,2.3773,2.4366,2.4682,2.375,47.63K,-2.90%
6/30/2023,2.4482,2.425,2.4648,2.402,2.09K,1.35%
6/29/2023,2.4156,2.4046,2.4518,2.3887,10.10K,0.37%
6/28/2023,2.4067,2.4176,2.4362,2.3708,16.02K,0.32%
6/27/2023,2.399,2.4526,2.48,2.3899,21.23K,-1.63%
6/26/2023,2.4388,2.426,2.4651,2.4096,27.50K,1.32%
6/23/2023,2.4071,2.4697,2.4705,2.3816,27.90K,-2.37%
6/22/2023,2.4655,2.5587,2.576,2.447,34.59K,-3.85%
6/21/2023,2.5642,2.4639,2.5684,2.453,43.20K,3.59%
6/20/2023,2.4754,2.5514,2.5539,2.4417,49.20K,-1.35%
6/19/2023,2.5094,2.5446,2.545,2.498,,-1.39%
6/18/2023,2.5447,2.553,2.553,2.5429,,-0.26%
6/16/2023,2.5514,2.4825,2.5562,2.4735,54.97K,2.90%
6/15/2023,2.4796,2.3646,2.49,2.3445,48.21K,5.17%
6/14/2023,2.3577,2.393,2.4323,2.3514,54.13K,-1.58%
6/13/2023,2.3955,2.3147,2.4088,2.3118,48.30K,3.74%
6/12/2023,2.3091,2.3607,2.3607,2.297,49.80K,-2.20%
6/9/2023,2.361,2.3828,2.403,2.3593,39.42K,-1.21%
6/8/2023,2.3898,2.4042,2.4263,2.3174,55.62K,-0.50%
6/7/2023,2.4018,2.36,2.4137,2.342,56.31K,1.44%
6/6/2023,2.3678,2.3745,2.3828,2.3279,37.28K,-0.41%
6/5/2023,2.3775,2.41,2.4286,2.3648,43.93K,0.87%
6/2/2023,2.3569,2.3174,2.3797,2.3115,52.56K,1.82%
6/1/2023,2.3147,2.24,2.3358,2.2352,53.59K,2.44%
5/31/2023,2.2596,2.2652,2.2879,2.2367,2.89K,-0.93%
5/30/2023,2.2808,2.3838,2.3874,2.275,19.23K,-3.73%
5/29/2023,2.3692,2.3635,2.3635,2.3385,0.38K,0.00%
5/26/2023,2.3693,2.3413,2.3913,2.3312,20.73K,0.98%
5/25/2023,2.3462,2.409,2.4131,2.3183,16.62K,-2.80%
5/24/2023,2.4137,2.3774,2.42,2.375,22.69K,2.20%
5/23/2023,2.3617,2.3703,2.4054,2.3567,21.53K,-0.20%
5/22/2023,2.3664,2.3669,2.3814,2.3317,20.45K,0.18%
5/19/2023,2.3622,2.4094,2.4481,2.355,36.21K,-1.68%
5/18/2023,2.4026,2.4227,2.4251,2.3768,29.80K,-0.83%
5/17/2023,2.4226,2.3603,2.4311,2.3428,37.64K,2.48%
5/16/2023,2.3639,2.3802,2.3965,2.3436,39.51K,-0.59%
5/15/2023,2.378,2.305,2.3865,2.2812,48.22K,3.14%
5/12/2023,2.3055,2.3588,2.3617,2.301,38.42K,-1.87%
5/11/2023,2.3495,2.3935,2.4233,2.344,40.24K,-1.83%
5/10/2023,2.3934,2.3948,2.408,2.3644,48.94K,0.13%
5/9/2023,2.3902,2.3639,2.3936,2.322,34.71K,0.53%
5/8/2023,2.3777,2.3147,2.3845,2.3147,38.53K,2.72%
5/5/2023,2.3147,2.2409,2.3258,2.2307,40.37K,3.39%
5/4/2023,2.2387,2.2102,2.2695,2.15,44.16K,0.29%
5/3/2023,2.2323,2.295,2.2979,2.2046,54.23K,-2.49%
5/2/2023,2.2892,2.3818,2.3974,2.2714,58.37K,-3.91%
5/1/2023,2.3823,2.3722,2.3896,2.3268,41.47K,0.15%
4/28/2023,2.3787,2.3535,2.3935,2.332,3.16K,1.04%
4/27/2023,2.3542,2.3715,2.3881,2.3351,13.98K,-0.79%
4/26/2023,2.373,2.451,2.4695,2.3696,13.43K,-3.19%
4/25/2023,2.4511,2.5246,2.5465,2.4482,22.92K,-3.16%
4/24/2023,2.531,2.5042,2.5436,2.4618,27.14K,1.70%
4/21/2023,2.4886,2.4917,2.522,2.4777,23.05K,-0.25%
4/20/2023,2.4949,2.5525,2.5525,2.4712,23.90K,-2.46%
4/19/2023,2.5577,2.599,2.6019,2.5457,22.38K,-1.62%
4/18/2023,2.5999,2.6244,2.629,2.5798,36.63K,-0.57%
4/17/2023,2.6147,2.6464,2.6512,2.5838,43.51K,-0.93%
4/14/2023,2.6392,2.6838,2.6851,2.632,51.69K,-1.26%
4/13/2023,2.6728,2.7016,2.7141,2.6636,38.35K,-1.12%
4/12/2023,2.7031,2.6679,2.7234,2.6489,46.92K,1.31%
4/11/2023,2.6682,2.6825,2.7057,2.6275,53.73K,-0.49%
4/10/2023,2.6814,2.6658,2.7036,2.6396,48.25K,0.79%
4/6/2023,2.6605,2.7325,2.7348,2.6564,71.20K,-2.58%
4/5/2023,2.731,2.69,2.7399,2.6561,69.65K,2.41%
