Date,Price,Open,High,Low,Vol.,Change %
9/2/2021,69.99,68.29,70.61,67.84,403.31K,2.04%
9/1/2021,68.59,68.55,69.24,67.12,399.50K,0.13%
8/31/2021,68.5,69.18,69.34,68.16,325.85K,-1.03%
8/30/2021,69.21,69.3,69.64,67.67,360.80K,0.68%
8/27/2021,68.74,67.75,69.05,67.52,326.06K,1.96%
8/26/2021,67.42,68,68.31,67.02,344.29K,-1.38%
8/25/2021,68.36,67.63,68.54,66.92,353.74K,1.21%
8/24/2021,67.54,65.54,67.8,65.41,335.89K,2.89%
8/23/2021,65.64,61.96,66,61.74,397.29K,5.33%
8/20/2021,62.32,64.05,64.1,62.11,24.63K,-2.15%
8/19/2021,63.69,64.58,64.76,62.63,88.24K,-2.70%
8/18/2021,65.46,66.58,67.48,64.34,121.20K,-1.70%
8/17/2021,66.59,67.43,67.72,66.33,235.30K,-1.04%
8/16/2021,67.29,67.71,68.27,65.73,334.84K,-1.68%
8/13/2021,68.44,68.91,69.22,67.77,272.03K,-0.94%
8/12/2021,69.09,69.36,69.62,68.46,352.47K,-0.23%
8/11/2021,69.25,68.51,69.45,66.67,513.29K,1.41%
8/10/2021,68.29,66.85,68.9,66.56,452.13K,2.72%
8/9/2021,66.48,67.88,67.9,65.15,598.38K,-2.64%
8/6/2021,68.28,69.14,70.18,67.8,537.14K,-1.17%
8/5/2021,69.09,68.06,69.35,67.61,416.33K,1.38%
8/4/2021,68.15,70.32,70.81,67.85,582.92K,-3.42%
8/3/2021,70.56,71.52,71.96,69.19,509.94K,-0.98%
8/2/2021,71.26,73.91,73.95,70.55,448.20K,-3.64%
7/30/2021,73.95,73.41,74.23,72.93,303.70K,0.45%
7/29/2021,73.62,72.4,73.68,72.26,294.46K,1.70%
7/28/2021,72.39,71.9,72.6,71.7,318.91K,1.03%
7/27/2021,71.65,72.22,72.33,71.08,333.12K,-0.36%
7/26/2021,71.91,72.18,72.43,70.56,395.74K,-0.22%
7/23/2021,72.07,71.71,72.21,71.39,274.78K,0.22%
7/22/2021,71.91,70.22,72.03,69.86,435.18K,2.29%
7/21/2021,70.3,66.45,70.51,66.44,503.03K,4.27%
7/20/2021,67.42,66.6,67.65,65.21,29.74K,1.51%
7/19/2021,66.42,71.49,71.67,65.63,82.57K,-7.51%
7/16/2021,71.81,71.48,72.3,70.41,133.93K,0.22%
7/15/2021,71.65,72.96,72.96,71.4,368.68K,-2.02%
7/14/2021,73.13,75.17,75.44,72.21,528.36K,-2.82%
7/13/2021,75.25,74.18,75.52,73.68,444.08K,1.55%
7/12/2021,74.1,74.74,74.93,73.16,397.93K,-0.62%
7/9/2021,74.56,73.26,74.76,72.72,422.15K,2.22%
7/8/2021,72.94,72.17,73.26,70.76,529.69K,1.02%
7/7/2021,72.2,73.85,74.86,71.07,607.97K,-1.59%
7/6/2021,73.37,75.35,76.98,72.94,714.04K,-3.78%
7/5/2021,76.25,75.15,76.4,74.75,,1.48%
7/4/2021,75.14,75.22,75.28,75,,-0.03%
7/2/2021,75.16,75.02,75.62,74.41,377.53K,-0.09%
7/1/2021,75.23,73.5,76.22,73.39,615.68K,2.40%
6/30/2021,73.47,73.47,74.14,72.82,383.63K,0.67%
6/29/2021,72.98,72.78,73.81,71.97,321.45K,0.10%
6/28/2021,72.91,73.99,74.45,72.62,354.70K,-1.54%
6/25/2021,74.05,73.32,74.18,72.85,364.72K,1.02%
6/24/2021,73.3,73.28,73.61,72.32,334.83K,0.30%
